API,CC,MemAccess,CVE_Score,NLOC,TokenCount,ParamCount,FS
TIFFDataWidth,18,8,0.0,29,81,1,1.90334255832846
TIFFError,3,10,0.0,16,81,2,1.9007977767723854
TIFFWarning,3,10,0.0,16,81,2,1.9007977767723854
TIFFGetClientInfo,4,18,0.0,10,59,2,1.88806916007423
TIFFRawStripSize64,2,11,0.0,13,71,2,1.8585633560036965
TIFFUnRegisterCODEC,3,29,0.0,15,78,1,1.8332814679751825
TIFFGetTagListEntry,3,16,0.0,8,54,2,1.8206190405570961
TIFFFindCODEC,5,26,0.0,12,88,1,1.8205642169833631
TIFFTileSize64,1,241,0.0,4,22,1,1.7974860674337352
TIFFTileRowSize,1,85,0.0,7,37,1,1.7759489014968997
TIFFOpenOptionsSetErrorHandlerExtR,1,9,0.0,7,27,3,1.7659175039430546
TIFFOpenOptionsSetWarningHandlerExtR,1,9,0.0,7,27,3,1.7659175039430546
TIFFSwabLong,1,23,0.0,12,83,1,1.7562301415610706
TIFFSwabFloat,1,23,0.0,12,83,1,1.7562301415610706
TIFFDeferStrileArrayWriting,3,15,0.0,16,74,1,1.7427257267190968
TIFFIsCODECConfigured,4,13,0.0,17,57,1,1.7102413024057985
TIFFDefaultTileSize,1,8,0.0,4,30,3,1.6914473015491676
TIFFSetFileName,1,9,0.0,6,37,2,1.6388486871588017
TIFFSetMode,1,9,0.0,6,29,2,1.6101129729258745
TIFFSetFileno,1,9,0.0,6,27,2,1.6017261135521212
TIFFSetClientdata,1,9,0.0,6,27,2,1.6017261135521212
TIFFSwabShort,1,13,0.0,9,59,1,1.595487992003416
TIFFGetStrileOffset,1,14,0.0,4,21,2,1.5817081571667853
TIFFGetStrileByteCount,1,14,0.0,4,21,2,1.5817081571667853
TIFFSetWriteOffset,1,7,0.0,5,23,2,1.5264776202022956
_TIFFClampDoubleToUInt32,4,10,0.0,8,35,1,1.511444105286066
TIFFDefaultStripSize,1,6,0.0,4,24,2,1.4839814202879924
TIFFOpenOptionsSetMaxSingleMemAlloc,1,5,0.0,5,17,2,1.44875242704132
TIFFOpenOptionsSetMaxCumulatedMemAlloc,1,5,0.0,5,17,2,1.44875242704132
TIFFOpenOptionsSetWarnAboutUnknownTags,1,5,0.0,5,17,2,1.44875242704132
TIFFSetWarningHandler,1,6,0.0,6,21,1,1.3164919960391028
TIFFSetErrorHandler,1,6,0.0,6,21,1,1.3164919960391028
TIFFSetTagExtender,1,6,0.0,6,21,1,1.3164919960391028
TIFFSetWarningHandlerExt,1,6,0.0,6,21,1,1.3164919960391028
TIFFSetErrorHandlerExt,1,6,0.0,6,21,1,1.3164919960391028
_TIFFrealloc,1,4,0.0,1,24,2,1.29519869798547
TIFFGetTagListCount,1,5,0.0,5,22,1,1.2756393178790446
TIFFIsBigEndian,1,3,0.0,4,21,1,1.1823633918650394
TIFFGetUnmapFileProc,1,3,0.0,4,15,1,1.1436517597445621
TIFFGetBitRevTable,2,2,0.0,4,16,1,1.11821741083621
TIFFAccessTagMethods,1,2,0.0,4,16,1,1.108267162079991
TIFFOpenOptionsAlloc,1,11,0.0,6,26,0,1.07461285338044
TIFFIsByteSwapped,1,3,0.0,1,21,1,1.043585878133174
TIFFIsBigTIFF,1,3,0.0,1,21,1,1.043585878133174
TIFFIsMSB2LSB,1,3,0.0,1,18,1,1.0257645772472774
TIFFOpenOptionsFree,1,4,0.0,1,13,1,1.0218047392550238
TIFFLastDirectory,1,3,0.0,1,17,1,1.0191920985005538
TIFFIsTiled,1,3,0.0,1,16,1,1.0122438505356448
TIFFIsUpSampled,1,3,0.0,1,16,1,1.0122438505356448
TIFFGetCloseProc,1,3,0.0,1,15,1,1.0048742460126967
TIFFFileName,1,3,0.0,1,15,1,1.0048742460126967
TIFFFileno,1,3,0.0,1,15,1,1.0048742460126967
TIFFGetMapFileProc,1,3,0.0,1,15,1,1.0048742460126967
TIFFCurrentDirectory,1,3,0.0,1,15,1,1.0048742460126967
TIFFGetReadProc,1,3,0.0,1,15,1,1.0048742460126967
TIFFGetWriteProc,1,3,0.0,1,15,1,1.0048742460126967
TIFFGetSizeProc,1,3,0.0,1,15,1,1.0048742460126967
TIFFGetSeekProc,1,3,0.0,1,15,1,1.0048742460126967
TIFFCurrentTile,1,3,0.0,1,15,1,1.0048742460126967
TIFFGetMode,1,3,0.0,1,15,1,1.0048742460126967
TIFFCurrentDirOffset,1,3,0.0,1,15,1,1.0048742460126967
TIFFClientdata,1,3,0.0,1,15,1,1.0048742460126967
TIFFCurrentStrip,1,3,0.0,1,15,1,1.0048742460126967
TIFFCurrentRow,1,3,0.0,1,15,1,1.0048742460126967
TIFFFieldReadCount,1,3,0.0,1,14,1,0.9970288630143503
TIFFFieldDataType,1,3,0.0,1,14,1,0.9970288630143503
TIFFFieldName,1,3,0.0,1,14,1,0.9970288630143503
TIFFFieldIsAnonymous,1,3,0.0,1,14,1,0.9970288630143503
TIFFFieldTag,1,3,0.0,1,14,1,0.9970288630143503
TIFFFieldWriteCount,1,3,0.0,1,14,1,0.9970288630143503
TIFFFieldPassCount,1,3,0.0,1,14,1,0.9970288630143503
TIFFClientOpenExt,0,648,0.0,0,0,0,0.9623538834455817
_TIFFfree,1,2,0.0,1,13,1,0.9458878014530776
_TIFFGetGpsFields,1,0,0.0,1,12,0,0.42672982321185454
_TIFFGetExifFields,1,0,0.0,1,12,0,0.42672982321185454
TIFFGetVersion,1,0,0.0,1,11,0,0.41699973199106277
